step,total,seconds_per_merge,affected,freq
696,31743,0.7936507936507936,2484,1330000.0
697,31743,1.39,719,1330000.0
698,31743,1.04,16437,1320000.0
699,31743,1.06,15275,1320000.0
700,31743,0.9174311926605504,13110,1320000.0
701,31743,0.9803921568627451,7864,1320000.0
702,31743,0.7936507936507936,2409,1320000.0
703,31743,0.5882352941176471,107,1320000.0
704,31743,0.5154639175257733,3419,1320000.0
705,31743,0.6097560975609756,6844,1320000.0
706,31743,0.625,9085,1310000.0
707,31743,0.6451612903225806,578,1310000.0
708,31743,0.5405405405405405,3502,1310000.0
709,31743,1.35,2944,1300000.0
710,31743,1.35,1437,1300000.0
711,31743,0.819672131147541,1987,1300000.0
712,31743,0.6802721088435374,3451,1300000.0
713,31743,0.8064516129032259,1289,1300000.0
714,31743,0.6944444444444444,24680,1290000.0
715,31743,1.0,914,1290000.0
716,31743,1.0,1492,1290000.0
717,31743,0.5813953488372093,2098,1290000.0
718,31743,0.7407407407407407,172,1290000.0
719,31743,0.7194244604316548,2922,1280000.0
720,31743,1.53,5740,1280000.0
721,31743,1.28,101,1270000.0
722,31743,1.02,194,1270000.0
723,31743,0.9174311926605504,108,1270000.0
724,31743,0.9174311926605504,1090,1270000.0
725,31743,0.5555555555555556,273,1270000.0
726,31743,0.46511627906976744,2072,1270000.0
727,31743,0.38167938931297707,2429,1270000.0
728,31743,0.37593984962406013,205,1270000.0
729,31743,0.37593984962406013,9391,1270000.0
730,31743,0.4065040650406504,6380,1260000.0
731,31743,0.4608294930875576,3043,1260000.0
732,31743,0.46511627906976744,9681,1260000.0
733,31743,0.5780346820809249,1265,1260000.0
734,31743,0.5780346820809249,8679,1260000.0
735,31743,0.5681818181818182,2498,1260000.0
736,31743,0.5263157894736842,52354,1260000.0
737,31743,0.6944444444444444,1538,1260000.0
738,31743,0.5617977528089888,476,1250000.0
739,31743,0.49504950495049505,4632,1250000.0
740,31743,1.18,984,1250000.0
741,31743,0.9345794392523364,325,1250000.0
742,31743,0.7299270072992701,628,1250000.0
743,31743,0.6134969325153374,3763,1250000.0
